,Unnamed: 0,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI,melancholic,anxious,futuristic,male vocals,existential,alienation,atmospheric,lonely,cold,pessimistic,introspective,depressive,longing,dense,sarcastic,serious,urban,progressive,passionate,concept album,bittersweet,meditative,epic,complex,sentimental,melodic,fantasy,philosophical,surreal,poetic,abstract,technical,improvisation,avant-garde,psychedelic,medieval,political,sombre,cryptic,winter,hypnotic,mysterious,dark,nocturnal,rhythmic,apocalyptic,ethereal,apathetic,eclectic,conscious,protest,religious,spiritual,Christian,uplifting,noisy,romantic,love,female vocals,lush,warm,Wall of Sound,sensual,sexual,androgynous vocals,soothing,mellow,space,calm,summer,happy,medley,quirky,playful,optimistic,energetic,suite,drugs,raw,nihilistic,rebellious,hedonistic,deadpan,dissonant,lo-fi,science fiction,anthemic,rock opera,triumphant,LGBT,sampling,humorous,boastful,crime,repetitive,manic,tribal,instrumental,suspenseful,acoustic,death,autumn,polyphonic,violence,alcohol,aquatic,heavy,war,ominous,funereal,vocal group,orchestral,chamber music,history,aggressive,vulgar,uncommon time signatures,pastoral,soft,peaceful,minimalistic,sparse,monologue,sad,rain,breakup,self-hatred,satirical,angry,misanthropic,chaotic,folklore,nature,seasonal,spring,forest,scary,ballad,suicide,disturbing,lethargic,choral,infernal,mechanical,occult,pagan,tropical,,anti-religious,hateful,party,mashup,desert,martial,ritualistic,mythology,satanic,parody,paranormal,Halloween,anarchism,natural,lyrics,waltz,Islamic,atonal,sports,oratorio,Descriptor Count
0,0,OK Computer,Radiohead,0.28808334,0.5659167,6.3333335,-9.102416,0.6666667,0.05630834,0.13576259,0.16105278,0.159375,0.29173332,115.45075,268435.5,4.0,spotify:album:6dVIqQ8qmQ5GBnJ9shOYGE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1,1,Wish You Were Here,Pink Floyd,0.37359998,0.4098,5.0,-12.6894,0.4,0.03974,0.6028,0.36304,0.38494,0.25904,130.0188,530512.0,3.6,spotify:album:0bCAjiUamIFqKJsekOYuRw,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2,2,In the Court of the Crimson King,King Crimson,0.340625,0.370475,6.125,-14.873124,0.375,0.0434625,0.29768625,0.327265,0.1491375,0.2794,118.92062,507644.12,3.875,spotify:album:6tVg2Wl9hVKMpHYcAl2V2M,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
3,3,Kid A,Radiohead,0.3869091,0.47572726,4.5454545,-12.850272,0.72727275,0.060299996,0.5003791,0.628202,0.1749,0.27056363,113.36301,257418.55,3.909091,spotify:album:6GjwtEZcfenmOf6l18N7T7,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
4,4,To Pimp a Butterfly,Kendrick Lamar,0.59075,0.70762503,5.875,-5.8020625,0.5,0.29417503,0.32288873,1.0789376e-05,0.31841874,0.4871875,103.444565,296225.75,3.8125,spotify:album:7ycBtnsMtyVbbwTfJwRjSP,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
5,5,Loveless,My Bloody Valentine,0.22700907,0.61536366,5.2727275,-13.224729,0.90909094,0.049436364,0.18559264,0.7870909,0.23855454,0.28691816,119.816086,265148.0,3.6363637,spotify:album:3GH4IiI6jQAIvnHVdb5FB6,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
6,6,The Dark Side of the Moon,Pink Floyd,0.38299996,0.40045,6.0,-15.701899,0.8,0.058660008,0.39031,0.595929,0.23768,0.27282998,120.0662,257363.6,3.7,spotify:album:4LH4d3cOWNNsVw41Gqt2kv,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
7,7,Abbey Road,The Beatles,0.518,0.45717648,3.5882354,-11.344412,0.7058824,0.047311764,0.22496411,0.12280227,0.17771766,0.45917648,118.16676,167629.83,3.6470587,spotify:album:0ETFjACtuP2ADo6LFhL6HN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
8,8,The Velvet Underground & Nico,The Velvet Underground & Nico,0.42854548,0.5488182,5.2727275,-11.624363,0.8181818,0.05444545,0.2672949,0.32993907,0.09843636,0.4509091,117.923805,267008.38,3.8181818,spotify:album:4xwx0x7k6c5VuThz5qVqmV,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
9,9,The Rise and Fall of Ziggy Stardust and the Spiders From Mars,David Bowie,0.5027272,0.52909094,4.2727275,-10.998545,0.90909094,0.041927274,0.17872728,0.0034464262,0.21008183,0.54972726,116.96909,210837.0,3.8181818,spotify:album:48D1hRORqJq52qsnUYZX56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
