,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
0,A Ghost Is Born,Wilco,0.47871175,0.5154118,5.0,-11.523531,0.7647059,0.039147057,0.34181944,0.32696837,0.2662647,0.41134116,105.779236,311471.28,3.9411764,spotify:album:1f8UM82zkRXTLy7qGp4lJF
1,Ambient 4: On Land,Brian Eno,0.1780625,0.07128,4.0,-30.062126,0.875,0.0428125,0.7865,0.768675,0.11907501,0.040975,100.02825,333898.5,4.375,spotify:album:6siM9Wpdrdlt5xQYohETIh
2,Starspawn,Blood Incantation,0.2368,0.7924,5.8,-9.7034,0.8,0.057779998,0.16980945,0.8651999,0.24680002,0.1363,102.476,410709.4,3.8,spotify:album:4PXg0mjX9EXJkBORCmK5Rd
3,Helvete,Nasum,0.26081818,0.9558636,5.181818,-5.910864,0.54545456,0.15498638,5.354545e-06,0.5693909,0.22245455,0.17079544,117.23887,96118.23,4.0,spotify:album:2rT9YBjOgrsLzrtUMjApbm
4,Steal This Album,The Coup,0.6694118,0.6232352,5.1764708,-9.554,0.5294118,0.39417648,0.17198989,2.6817645e-06,0.26652354,0.55211765,126.338524,495706.66,3.9411764,spotify:album:3zuiqj04eiSEpVv6uzcmLS
5,Touchin' on Trane,"Charles Gayle, William Parker & Rashied Ali",0.3868,0.50380003,3.2,-14.296199,0.6,0.09422,0.5046,0.27802798,0.25456,0.5361999,82.9798,799794.8,4.0,spotify:album:3qn8jYDeZCjukBoeKobEU4
6,Rhythm Nation 1814,Janet Jackson,0.45220003,0.62508,4.9,-12.3547,0.65,0.07610999,0.47896498,0.13718185,0.250035,0.37368006,82.7467,193577.1,3.15,spotify:album:4OD3LU6001esAtFshDX46M
7,Night Beat,Sam Cooke,0.5275833,0.4021667,6.0833335,-9.672,0.8333333,0.035591666,0.7643333,1.2241667e-06,0.22973333,0.50600004,125.245575,186772.33,3.4166667,spotify:album:4FsWNGbkeZtMD1BWXhIvRk
8,Emitt Rhodes,Emitt Rhodes,0.53781253,0.469175,4.9583335,-11.334292,0.7708333,0.036285415,0.46827498,0.07531717,0.14333333,0.6421667,118.468605,169738.89,3.8958333,spotify:album:6r4mUQIagaCmJjrOBW3SIB
9,Jimmy Carter Syndrome,Jay Munly,0.47391662,0.5628333,4.6666665,-6.1535835,0.5,0.032366667,0.42721164,0.12168961,0.12120833,0.29639167,115.10608,344310.0,3.75,spotify:album:0Swj8zZP0r8IlNrycpdBx6
10,Fuchsia Swing Song,Sam Rivers,0.44833335,0.41533336,4.6666665,-14.769501,0.33333334,0.0495,0.5631667,0.009125655,0.18166667,0.47750005,114.82534,389555.5,4.0,spotify:album:0tsowrhCb9ezNEbhG7Xy0W
