,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
0,Triarchy of the Lost Lovers,Rotting Christ,0.28111112,0.9067778,6.5555553,-7.6436667,0.22222222,0.06276667,0.0011817334,0.31174445,0.09091111,0.29425555,133.22134,309000.0,3.3333333,spotify:album:47an4QHvCKBFZKPRuFaBB5
1,No One Cares,Frank Sinatra,0.22786668,0.07552001,5.5333333,-19.018467,0.6,0.037573334,0.8942,0.033854537,0.14386667,0.107986666,93.332275,203066.8,3.4666667,spotify:album:1nnCD4VLdJ4n6lnOOUNUMc
2,Lubbock (On Everything),Terry Allen,0.53271437,0.44438094,7.1904764,-9.666857,1.0,0.044909522,0.7757619,0.051934022,0.17683809,0.5081428,126.54022,236746.28,3.7619047,spotify:album:31gOu9Ke5o3wgx1GyIDNYU
3,Alenar,Maria del Mar Bonet,0.4084,0.3736,4.3,-9.278601,0.6,0.03542,0.78880006,0.00064774597,0.15734,0.44380003,120.8407,176226.8,3.9,spotify:album:6K00bMt01gx5AYP9drle37
4,Watch Your Step,Ted Hawkins,0.6255333,0.30560002,6.133333,-13.921934,0.8666667,0.08972,0.8378001,0.000171862,0.17333335,0.6073333,119.78214,152299.6,3.9333334,spotify:album:3XnHTwogsnLUFhC7nZ983d
5,Apollo 18,They Might Be Giants,0.5857778,0.5443333,5.1666665,-11.203777,0.6111111,0.054461114,0.21298005,0.1117823,0.17912222,0.7012778,133.64221,143297.0,3.9444444,spotify:album:5HswYyErxPHfQtHhNlzhnR
6,A Space in Time,Ten Years After,0.41835004,0.58575,6.75,-10.5311,0.85,0.03718,0.26699498,0.28900662,0.14387502,0.58764994,132.51212,226562.05,4.0,spotify:album:6C2AlxVFIfvLsuWOJB1UKo
7,Cowboy in Sweden,Lee Hazlewood,0.5292857,0.29099998,3.142857,-14.728571,0.9285714,0.038278572,0.5404285,0.0051976773,0.12902142,0.4323571,108.142784,171578.08,3.857143,spotify:album:6zwdOtcRntgYAyUkkxVZ4t
8,Inventions & Dimensions,Herbie Hancock,0.5596667,0.46166667,4.8333335,-14.205501,0.5,0.0406,0.76933336,0.35183832,0.1135,0.58316666,116.524666,499957.66,3.8333333,spotify:album:6uxqHM6i0as9PVB5S0TcUP
9,Squeezing Out Sparks,Graham Parker,0.50750005,0.7385455,4.2272725,-8.342362,1.0,0.05900909,0.36638182,0.0006236473,0.54777277,0.72786367,129.34595,215237.55,4.0,spotify:album:4ZImzDF35hQWiN5FdAqQbN
10,I Am the Cosmos,Chris Bell,0.45196298,0.62562966,4.703704,-7.2446294,0.8888889,0.050270367,0.22135752,0.009159469,0.20184444,0.45003703,118.868225,223123.27,3.8888888,spotify:album:2iXjDsPPxZWr5gqhwpXspC
11,Act IV: Rebirth in Reprise,The Dear Hunter,0.37893334,0.6205333,5.266667,-6.8131337,0.53333336,0.03618667,0.120806254,0.074601755,0.29218668,0.22160666,131.00414,298030.47,3.7333333,spotify:album:0TCkVVN1AfEtMP3IjVD1Zi
12,Presents Author Unknown,Jason Falkner,0.43183336,0.65466666,4.5833335,-9.427917,0.8333333,0.032475,0.07633559,0.00075621414,0.24750835,0.41941667,130.68484,221866.58,3.8333333,spotify:album:3hJb5LZwOEPs42JChnkVO5
13,Wish Someone Would Care,Irma Thomas,0.5505,0.43191662,4.6666665,-11.875999,0.9166667,0.032449998,0.61316675,0.0008430984,0.34676668,0.62116665,103.563324,159388.92,2.8333333,spotify:album:2nnXcAt9Yke9sHwKtfcJlY
14,Slow Turning,John Hiatt,0.6521667,0.6573333,6.25,-8.142,1.0,0.033800002,0.5005833,0.0012638925,0.10299166,0.7053333,121.792595,242715.5,3.9166667,spotify:album:2OXQtMcqQ50VaMj51YFusc
